epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9598,1.82661,3.49987,2.31706,0.68996,0.11465,0.03334,0.00919,2.35017,4.6875,3.35632,0.0683774,0.00166435,0.00166435
2,145.671,1.78142,3.32695,2.23989,0.49118,0.09258,0.03836,0.0125,2.18116,3.54794,3.15712,0.0366777,0.00329804,0.00329804
3,213.994,1.72881,3.2356,2.1882,0.46622,0.13761,0.09062,0.03356,2.20318,3.11462,3.09789,0.00494509,0.00489873,0.00489873
4,281.931,1.69026,3.14416,2.13355,0.27572,0.20269,0.11225,0.04805,2.02724,3.24539,2.79762,0.0048515,0.0048515,0.0048515
5,349.283,1.66259,3.05191,2.09304,0.47714,0.22533,0.1573,0.06604,2.01615,2.82765,2.84504,0.004802,0.004802,0.004802
6,416.838,1.62687,2.94517,2.06851,0.23252,0.22695,0.15756,0.07757,1.93548,3.06246,2.69925,0.0047525,0.0047525,0.0047525
7,484.186,1.61623,2.89515,2.05659,0.40416,0.25734,0.21085,0.10335,1.89017,2.67824,2.70175,0.004703,0.004703,0.004703
8,551.81,1.59978,2.80631,2.0366,0.29934,0.28461,0.21207,0.10764,1.92921,2.60992,2.66631,0.0046535,0.0046535,0.0046535
9,619.309,1.57867,2.75515,2.01438,0.38724,0.34456,0.30087,0.14902,1.85759,2.40934,2.6197,0.004604,0.004604,0.004604
10,686.846,1.56666,2.69328,2.00106,0.32134,0.36994,0.30712,0.14911,1.87134,2.39759,2.6109,0.0045545,0.0045545,0.0045545
11,754.225,1.56204,2.65745,1.9875,0.37376,0.37459,0.32995,0.17124,1.84482,2.2891,2.58535,0.004505,0.004505,0.004505
12,821.847,1.54235,2.58095,1.98333,0.33505,0.42526,0.3732,0.19687,1.77308,2.17334,2.52666,0.0044555,0.0044555,0.0044555
13,889.403,1.53322,2.53219,1.95861,0.40397,0.42686,0.38466,0.1904,1.85201,2.16205,2.55549,0.004406,0.004406,0.004406
14,956.722,1.5192,2.48358,1.9483,0.34923,0.45618,0.40226,0.19913,1.79597,2.11003,2.56604,0.0043565,0.0043565,0.0043565
15,1024.17,1.51235,2.45111,1.94379,0.41855,0.42954,0.40531,0.21466,1.73342,2.08884,2.4826,0.004307,0.004307,0.004307
16,1091.67,1.50483,2.4047,1.93507,0.4645,0.4349,0.40929,0.21421,1.76744,2.14026,2.50214,0.0042575,0.0042575,0.0042575
17,1159.04,1.4912,2.34951,1.92535,0.39932,0.45694,0.42138,0.22408,1.73761,2.01417,2.49104,0.004208,0.004208,0.004208
18,1226.38,1.48601,2.30772,1.91836,0.51351,0.44971,0.46336,0.25376,1.69125,1.91062,2.42027,0.0041585,0.0041585,0.0041585
19,1293.79,1.47548,2.27671,1.90601,0.49515,0.49571,0.48633,0.26593,1.66032,1.92013,2.38598,0.004109,0.004109,0.004109
20,1361.12,1.46922,2.25187,1.90417,0.50314,0.51459,0.49799,0.27764,1.65001,1.82322,2.39356,0.0040595,0.0040595,0.0040595
21,1428.39,1.4583,2.19828,1.89699,0.49006,0.51659,0.50104,0.27485,1.6786,1.80716,2.4083,0.00401,0.00401,0.00401
22,1495.69,1.46764,2.17848,1.89818,0.56707,0.5246,0.53858,0.2941,1.66349,1.72956,2.38825,0.0039605,0.0039605,0.0039605
23,1563.03,1.45587,2.13719,1.88404,0.59334,0.52572,0.5436,0.30462,1.64814,1.7436,2.36935,0.003911,0.003911,0.003911
24,1630.37,1.43641,2.10897,1.86964,0.56804,0.54115,0.54927,0.30598,1.61741,1.67874,2.3408,0.0038615,0.0038615,0.0038615
25,1697.8,1.42945,2.06491,1.86352,0.53629,0.55279,0.54921,0.30685,1.63632,1.6668,2.36563,0.003812,0.003812,0.003812
26,1765.17,1.42561,2.02437,1.86313,0.5471,0.54754,0.5552,0.3153,1.6142,1.68858,2.32909,0.0037625,0.0037625,0.0037625
27,1832.49,1.42281,2.01117,1.85684,0.63174,0.5247,0.56858,0.31681,1.65998,1.61553,2.37046,0.003713,0.003713,0.003713
28,1900,1.419,1.9957,1.85581,0.61223,0.54952,0.58076,0.33254,1.60011,1.56122,2.32139,0.0036635,0.0036635,0.0036635
