epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6973,1.48318,3.24446,1.82809,0.42451,0.39782,0.38415,0.18263,1.72085,2.6679,2.23751,0.000208044,0.000208044,0.000208044
2,76.1911,1.48152,2.50682,1.79043,0.57052,0.48144,0.50949,0.25844,1.72463,1.97793,2.23053,0.000408133,0.000408133,0.000408133
3,110.67,1.48544,2.29932,1.79644,0.51944,0.47965,0.47585,0.21642,1.8731,2.07743,2.39529,0.000599972,0.000599972,0.000599972
4,144.342,1.47414,2.14656,1.7757,0.62558,0.51759,0.55736,0.2864,1.75125,1.8022,2.2176,0.000587875,0.000587875,0.000587875
5,177.978,1.46538,2.01379,1.75693,0.5918,0.51572,0.54913,0.28923,1.68674,1.90054,2.1821,0.0005755,0.0005755,0.0005755
6,211.651,1.42983,1.90451,1.73496,0.63126,0.57291,0.59958,0.32069,1.69636,1.64786,2.16009,0.000563125,0.000563125,0.000563125
7,245.384,1.42213,1.84045,1.7322,0.66995,0.58651,0.62713,0.34539,1.6334,1.52819,2.1375,0.00055075,0.00055075,0.00055075
8,278.584,1.39601,1.78138,1.70986,0.67316,0.61706,0.65059,0.36491,1.60769,1.52579,2.08411,0.000538375,0.000538375,0.000538375
9,312.271,1.38968,1.71648,1.69437,0.71275,0.61555,0.65869,0.36408,1.61201,1.46277,2.076,0.000526,0.000526,0.000526
10,345.668,1.38161,1.65498,1.68281,0.72864,0.60246,0.66473,0.37527,1.57359,1.43515,2.04504,0.000513625,0.000513625,0.000513625
11,379.125,1.36891,1.63331,1.67181,0.7413,0.62739,0.68815,0.39336,1.55038,1.3308,2.01647,0.00050125,0.00050125,0.00050125
12,412.541,1.34695,1.57508,1.66024,0.76156,0.65661,0.70826,0.39605,1.59641,1.31862,2.07037,0.000488875,0.000488875,0.000488875
13,446.178,1.34323,1.52703,1.64374,0.74833,0.62599,0.68854,0.38168,1.60925,1.39786,2.06736,0.0004765,0.0004765,0.0004765
14,479.476,1.32831,1.50299,1.64245,0.7733,0.65507,0.71216,0.4111,1.56383,1.26007,2.03042,0.000464125,0.000464125,0.000464125
15,513.009,1.3265,1.48166,1.63498,0.73787,0.64677,0.69327,0.39517,1.55591,1.31578,2.02148,0.00045175,0.00045175,0.00045175
16,546.501,1.31332,1.43656,1.62718,0.8039,0.651,0.71607,0.41339,1.55798,1.24391,2.03041,0.000439375,0.000439375,0.000439375
17,580,1.30098,1.40811,1.61708,0.78223,0.6806,0.73041,0.41762,1.556,1.18551,2.0195,0.000427,0.000427,0.000427
18,614.253,1.30188,1.38723,1.61519,0.7779,0.6835,0.73395,0.4271,1.55395,1.19372,2.02722,0.000414625,0.000414625,0.000414625
19,647.819,1.2851,1.36272,1.5997,0.77551,0.67463,0.72078,0.4182,1.52989,1.19801,1.99361,0.00040225,0.00040225,0.00040225
20,681.058,1.27897,1.34716,1.6002,0.77939,0.71513,0.74632,0.42836,1.5535,1.16096,2.00758,0.000389875,0.000389875,0.000389875
21,714.295,1.26831,1.31092,1.59134,0.81413,0.69094,0.74494,0.43544,1.52123,1.13222,2.00353,0.0003775,0.0003775,0.0003775
22,748.01,1.26961,1.30043,1.58942,0.79908,0.6946,0.74518,0.43055,1.54148,1.13382,2.01694,0.000365125,0.000365125,0.000365125
23,781.421,1.2601,1.2755,1.57976,0.81053,0.68329,0.74378,0.4351,1.5285,1.12504,2.00036,0.00035275,0.00035275,0.00035275
24,814.823,1.24491,1.2526,1.5635,0.82638,0.67542,0.74589,0.43963,1.50926,1.11795,1.9815,0.000340375,0.000340375,0.000340375
25,848.605,1.23741,1.23336,1.5624,0.82061,0.68852,0.74628,0.43469,1.52823,1.12441,2.00651,0.000328,0.000328,0.000328
26,882.028,1.22898,1.20773,1.55527,0.82287,0.68318,0.74663,0.43511,1.51998,1.1379,1.98393,0.000315625,0.000315625,0.000315625
27,915.673,1.22311,1.21434,1.54925,0.82892,0.68627,0.75275,0.44368,1.49853,1.09938,1.98506,0.00030325,0.00030325,0.00030325
28,949.181,1.22161,1.18448,1.54967,0.82112,0.7006,0.7533,0.43999,1.52614,1.09188,1.99107,0.000290875,0.000290875,0.000290875
29,982.804,1.1974,1.1553,1.52837,0.81321,0.71837,0.76072,0.43908,1.53115,1.07176,2.00802,0.0002785,0.0002785,0.0002785
30,1016.09,1.19938,1.1527,1.53129,0.78592,0.73008,0.76109,0.44281,1.52608,1.07078,1.99753,0.000266125,0.000266125,0.000266125
31,1049.33,1.19417,1.13026,1.5261,0.81008,0.71802,0.76545,0.44724,1.51844,1.08584,2.00406,0.00025375,0.00025375,0.00025375
32,1082.63,1.18811,1.12079,1.52326,0.77779,0.72678,0.75283,0.44945,1.49978,1.08551,1.97869,0.000241375,0.000241375,0.000241375
33,1116.09,1.17253,1.10113,1.5066,0.82517,0.69908,0.75472,0.44484,1.52461,1.09638,2.00178,0.000229,0.000229,0.000229
34,1149.5,1.16852,1.09284,1.5053,0.82056,0.70718,0.76463,0.44909,1.52886,1.07226,2.00668,0.000216625,0.000216625,0.000216625
35,1182.72,1.15543,1.07872,1.49932,0.84448,0.69666,0.76084,0.44128,1.55218,1.09018,2.01829,0.00020425,0.00020425,0.00020425
36,1216.53,1.15643,1.06446,1.49379,0.81709,0.71679,0.76125,0.44325,1.54063,1.07404,2.01985,0.000191875,0.000191875,0.000191875
37,1250.02,1.13814,1.03817,1.4794,0.82887,0.70898,0.759,0.43888,1.55044,1.09368,2.03611,0.0001795,0.0001795,0.0001795
38,1283.31,1.15199,1.04864,1.48914,0.83213,0.7219,0.76624,0.44775,1.53768,1.05595,2.01497,0.000167125,0.000167125,0.000167125
