epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.609,1.8019,3.46138,2.28655,0.28178,0.05863,0.01904,0.00427,2.5814,4.67901,3.57247,0.0683774,0.00166435,0.00166435
2,136.027,1.77495,3.22094,2.21153,0.72376,0.14086,0.08289,0.02646,2.4537,3.45508,3.5314,0.0366777,0.00329804,0.00329804
3,200.36,1.70892,3.10653,2.15375,0.45616,0.20483,0.14729,0.06208,1.98946,2.9482,2.85886,0.00494509,0.00489873,0.00489873
4,264.192,1.67558,2.98954,2.10931,0.70429,0.2031,0.24145,0.11389,1.85451,2.78177,2.67153,0.0048515,0.0048515,0.0048515
5,328.074,1.64985,2.89453,2.07015,0.40442,0.24467,0.21853,0.08746,2.01708,2.81571,2.84064,0.004802,0.004802,0.004802
6,391.932,1.60556,2.79082,2.04268,0.23935,0.27636,0.2272,0.11099,1.97041,2.89019,2.72457,0.0047525,0.0047525,0.0047525
7,455.575,1.59537,2.7182,2.02878,0.8161,0.27716,0.33898,0.16674,1.87325,2.34253,2.63448,0.004703,0.004703,0.004703
8,519.132,1.57261,2.61741,2.00732,0.40037,0.37425,0.33273,0.16613,1.86978,2.31741,2.60322,0.0046535,0.0046535,0.0046535
9,582.979,1.55725,2.55632,1.98356,0.48892,0.40516,0.39172,0.19668,1.82082,2.2273,2.55916,0.004604,0.004604,0.004604
10,646.85,1.54783,2.49236,1.96908,0.446,0.36914,0.37942,0.1789,1.88568,2.31584,2.65038,0.0045545,0.0045545,0.0045545
11,710.714,1.5312,2.44797,1.94951,0.43208,0.4428,0.42852,0.21628,1.80108,2.10262,2.50822,0.004505,0.004505,0.004505
12,774.491,1.50961,2.37263,1.94163,0.45194,0.45768,0.44014,0.23389,1.76395,2.06232,2.46643,0.0044555,0.0044555,0.0044555
13,837.052,1.50027,2.32778,1.92284,0.5214,0.43018,0.44072,0.22563,1.76516,2.09819,2.49991,0.004406,0.004406,0.004406
14,898.994,1.49173,2.27686,1.9119,0.5743,0.46761,0.48064,0.24458,1.79684,1.90621,2.51726,0.0043565,0.0043565,0.0043565
15,962.443,1.48732,2.23426,1.9062,0.57693,0.47899,0.50169,0.26441,1.76977,1.85464,2.467,0.004307,0.004307,0.004307
16,1026.04,1.4723,2.19345,1.89252,0.57783,0.51844,0.52894,0.28606,1.69984,1.79445,2.40652,0.0042575,0.0042575,0.0042575
17,1089.99,1.46122,2.14922,1.88706,0.51453,0.51036,0.50587,0.26547,1.77394,1.86121,2.48723,0.004208,0.004208,0.004208
