epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3437,1.79425,3.35862,2.30389,0.46453,0.14225,0.09342,0.03466,2.18163,3.62296,3.09552,0.0677116,0.000998609,0.000998609
2,134.551,1.77389,3.13573,2.25991,0.37407,0.11495,0.08733,0.03556,2.19934,3.35736,2.99662,0.0353651,0.00198542,0.00198542
3,198.596,1.71714,2.97311,2.18851,0.75885,0.18669,0.18835,0.07983,2.03782,2.9966,2.8864,0.00300539,0.00295903,0.00295903
4,262.207,1.67532,2.84023,2.13136,0.39067,0.31879,0.26859,0.11104,1.92576,2.62537,2.7711,0.0029406,0.0029406,0.0029406
5,325.807,1.6255,2.69358,2.08684,0.48992,0.32949,0.32315,0.14433,1.97314,2.49403,2.75172,0.0029208,0.0029208,0.0029208
6,389.75,1.60161,2.60085,2.06728,0.37269,0.33108,0.31132,0.12721,2.05245,2.5345,2.83003,0.002901,0.002901,0.002901
7,453.261,1.59808,2.53737,2.05451,0.51658,0.40409,0.39918,0.18312,1.87416,2.28112,2.65792,0.0028812,0.0028812,0.0028812
8,516.506,1.57484,2.43994,2.02305,0.44176,0.45047,0.44431,0.22043,1.84053,2.10462,2.58316,0.0028614,0.0028614,0.0028614
9,578.649,1.55569,2.36566,2.00819,0.50258,0.47112,0.46377,0.2349,1.786,2.05961,2.54297,0.0028416,0.0028416,0.0028416
10,640.481,1.52521,2.28538,1.98588,0.53225,0.473,0.48274,0.24343,1.77509,2.07447,2.53262,0.0028218,0.0028218,0.0028218
11,704.154,1.5119,2.22523,1.96752,0.55407,0.5165,0.52675,0.27874,1.71438,1.85952,2.43867,0.002802,0.002802,0.002802
12,767.878,1.51348,2.16704,1.96311,0.53342,0.51169,0.52912,0.27454,1.71397,1.84524,2.42259,0.0027822,0.0027822,0.0027822
13,831.483,1.49017,2.1113,1.93721,0.60549,0.53442,0.54359,0.28211,1.73484,1.79754,2.45793,0.0027624,0.0027624,0.0027624
14,895.203,1.48836,2.06227,1.93873,0.59494,0.51242,0.54016,0.28484,1.76358,1.77882,2.4729,0.0027426,0.0027426,0.0027426
15,958.806,1.47046,2.00707,1.91821,0.63026,0.54283,0.57624,0.30333,1.70918,1.70143,2.43547,0.0027228,0.0027228,0.0027228
16,1022.44,1.45945,1.98027,1.90871,0.64787,0.54721,0.5931,0.32194,1.67051,1.67141,2.39366,0.002703,0.002703,0.002703
17,1086.12,1.45166,1.91547,1.9063,0.67397,0.57094,0.61878,0.32857,1.68851,1.59905,2.41019,0.0026832,0.0026832,0.0026832
18,1149.5,1.44756,1.89761,1.89749,0.68112,0.57905,0.61785,0.3277,1.67791,1.57209,2.40251,0.0026634,0.0026634,0.0026634
19,1213.03,1.42456,1.83781,1.87626,0.71295,0.59316,0.64243,0.34373,1.66811,1.5008,2.36654,0.0026436,0.0026436,0.0026436
20,1276.57,1.42978,1.82574,1.86996,0.65613,0.58806,0.6198,0.3296,1.68825,1.56485,2.40215,0.0026238,0.0026238,0.0026238
21,1340.04,1.41496,1.78301,1.86032,0.68261,0.59858,0.62557,0.33885,1.68346,1.51018,2.40134,0.002604,0.002604,0.002604
22,1403.72,1.40456,1.73208,1.85792,0.7366,0.60495,0.66085,0.35414,1.69894,1.43792,2.40659,0.0025842,0.0025842,0.0025842
23,1467.3,1.39909,1.71707,1.84452,0.70943,0.60936,0.66088,0.36996,1.63719,1.43656,2.33035,0.0025644,0.0025644,0.0025644
