epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.733,1.49789,3.23849,1.84238,0.4299,0.43055,0.40252,0.1858,1.77427,2.21381,2.26878,0.000208044,0.000208044,0.000208044
2,237.478,1.47523,2.48883,1.79766,0.52737,0.47233,0.48301,0.24436,1.73499,1.96738,2.22325,0.000408133,0.000408133,0.000408133
3,345.877,1.47902,2.25945,1.79461,0.54058,0.50288,0.50118,0.26267,1.7307,1.96164,2.22897,0.000599972,0.000599972,0.000599972
4,452.092,1.47879,2.12286,1.79,0.6717,0.53439,0.59043,0.31494,1.68764,1.68862,2.18225,0.000587875,0.000587875,0.000587875
5,558.546,1.45473,1.979,1.75919,0.67546,0.57431,0.61772,0.33095,1.68092,1.60481,2.18758,0.0005755,0.0005755,0.0005755
6,669.145,1.42627,1.8828,1.73792,0.66226,0.56127,0.60498,0.31024,1.75949,1.62,2.2174,0.000563125,0.000563125,0.000563125
7,779.118,1.4123,1.79673,1.72104,0.70609,0.5949,0.6427,0.32753,1.71225,1.52025,2.22416,0.00055075,0.00055075,0.00055075
8,888.253,1.40365,1.73327,1.7118,0.72887,0.63035,0.67321,0.36447,1.6453,1.43535,2.13158,0.000538375,0.000538375,0.000538375
9,994.97,1.38566,1.68481,1.69666,0.71514,0.6311,0.66218,0.36032,1.65196,1.38634,2.11841,0.000526,0.000526,0.000526
10,1101.67,1.36831,1.61696,1.68538,0.71876,0.64019,0.68186,0.38539,1.58107,1.35399,2.06687,0.000513625,0.000513625,0.000513625
11,1208.78,1.3683,1.58756,1.6777,0.77407,0.65175,0.71407,0.38637,1.59613,1.31637,2.07251,0.00050125,0.00050125,0.00050125
12,1313.98,1.34312,1.53774,1.66039,0.7744,0.64465,0.70547,0.39252,1.58937,1.28104,2.05886,0.000488875,0.000488875,0.000488875
13,1419.45,1.33538,1.51573,1.65082,0.75248,0.65082,0.70799,0.4065,1.55658,1.31527,2.02708,0.0004765,0.0004765,0.0004765
14,1534.18,1.31763,1.48895,1.64093,0.77572,0.6569,0.71615,0.41092,1.56906,1.27247,2.02742,0.000464125,0.000464125,0.000464125
15,1649.09,1.31528,1.45191,1.63082,0.76617,0.65296,0.7092,0.40627,1.55686,1.3043,2.01884,0.00045175,0.00045175,0.00045175
16,1761.03,1.30564,1.41224,1.62058,0.77248,0.66482,0.71229,0.41419,1.55667,1.21241,2.05016,0.000439375,0.000439375,0.000439375
